,STATE.UT,DISTRICT,Year,Rape,Kidnapping.and.Abduction,Dowry.Deaths,Assault.on.women.with.intent.to.outrage.her.modesty,Insult.to.modesty.of.Women,Cruelty.by.Husband.or.his.Relatives,Importation.of.Girls,Total.Crimes.against.Women
10326,CHHATTISGARH,BEMETRA,2015,24,29,3,44,2,12,0,114
10327,CHHATTISGARH,BILASPUR,2015,93,144,6,204,1,47,0,495
10328,CHHATTISGARH,BIZAPUR,2015,9,12,0,4,0,4,0,29
10329,CHHATTISGARH,DANTEWARA,2015,9,8,0,10,0,2,0,29
10330,CHHATTISGARH,DHAMTARI,2015,35,13,0,39,2,6,0,95
10331,CHHATTISGARH,DURG,2015,112,125,1,226,8,84,0,556
10333,CHHATTISGARH,G. R. P. RAIPUR,2015,0,2,1,8,1,0,0,12
10332,CHHATTISGARH,GARIYABAND,2015,46,17,0,25,1,13,0,102
10334,CHHATTISGARH,JAGDALPUR,2015,58,50,2,28,0,10,0,148
10335,CHHATTISGARH,JANJGIR,2015,54,79,20,112,6,42,0,313
10336,CHHATTISGARH,JASHPUR,2015,98,57,0,44,0,3,0,202
10337,CHHATTISGARH,KABIRDHAM,2015,29,35,1,72,0,20,0,157
10338,CHHATTISGARH,KANKER,2015,56,31,2,36,3,24,0,152
10339,CHHATTISGARH,KONDAGAON,2015,29,21,0,24,0,7,0,81
10340,CHHATTISGARH,KORBA,2015,67,51,7,64,3,36,0,228
10341,CHHATTISGARH,KORIYA,2015,68,41,1,75,2,34,0,221
10342,CHHATTISGARH,MAHASAMUND,2015,43,48,2,76,5,15,0,189
10343,CHHATTISGARH,MUNGALI,2015,19,38,1,42,1,15,0,116
10344,CHHATTISGARH,NARAYANPUR,2015,5,7,0,0,0,0,0,12
10345,CHHATTISGARH,RAIGARH,2015,122,75,16,98,6,48,0,365
10346,CHHATTISGARH,RAIPUR,2015,198,205,8,205,7,70,0,693
10347,CHHATTISGARH,RAJNANDGAON,2015,49,73,4,87,1,28,0,242
10348,CHHATTISGARH,SARGUJA,2015,82,14,0,76,0,6,0,178
10349,CHHATTISGARH,SUKMA,2015,5,5,0,6,0,1,0,17
10350,CHHATTISGARH,SURAJPUR,2015,55,45,3,58,1,40,0,202
10990,D&N HAVELI,D&N HAVELI,2015,8,9,1,5,0,2,0,25
10991,DAMAN & DIU,DAMAN,2015,4,10,0,7,0,1,0,22
10992,DAMAN & DIU,DIU,2015,1,3,0,0,0,2,0,6
10993,DELHI UT,CENTRAL,2015,85,188,4,256,71,110,0,714
10994,DELHI UT,CRIME BRANCH,2015,2,1,0,0,0,0,0,3
10995,DELHI UT,EAST,2015,239,448,6,588,214,414,0,1909
10996,DELHI UT,EOW,2015,0,0,0,6,0,0,0,6
10997,DELHI UT,IGI AIRPORT,2015,1,2,0,11,6,0,0,20
10998,DELHI UT,METRO,2015,4,1,0,15,2,1,0,23
10999,DELHI UT,NEW DELHI,2015,22,26,0,48,12,6,0,114
11000,DELHI UT,NORTH,2015,48,160,2,173,14,114,0,511
11001,DELHI UT,NORTH-EAST,2015,244,533,13,486,40,469,0,1785
11002,DELHI UT,NORTH-WEST,2015,172,373,14,400,80,285,0,1324
11003,DELHI UT,OUTER,2015,315,652,28,536,180,563,0,2274
11004,DELHI UT,RAILWAY,2015,15,9,0,13,3,0,0,40
11005,DELHI UT,SOUTH,2015,323,495,10,1183,520,172,0,2703
11006,DELHI UT,SOUTH-EAST,2015,240,475,14,559,141,300,0,1729
11007,DELHI UT,SOUTH-WEST,2015,217,413,13,606,107,397,0,1753
11008,DELHI UT,SPL CELL,2015,0,0,0,1,0,0,0,1
11009,DELHI UT,SPUWAC,2015,0,0,0,0,0,157,0,157
11010,DELHI UT,VIGILANCE,2015,0,0,0,0,0,0,0,0
11011,DELHI UT,WEST,2015,272,525,18,486,102,533,0,1936
10353,GOA,C. I. D.,2015,3,0,0,7,1,3,0,14
10351,GOA,NORTH GOA,2015,49,43,0,86,9,4,0,191
10352,GOA,SOUTH GOA,2015,34,27,0,57,24,12,0,154
10354,GUJARAT,AHMEDABAD CITY,2015,59,243,1,152,2,595,0,1052
10355,GUJARAT,AHMEDABAD RURAL,2015,10,6,2,21,0,73,0,112
